word_count,file_name
4246,6017792860.json
4911,6017765524.json
16973,6017726386.json
9519,6017775363.json
3876,6017842512.json
4108,6017772467.json
79201,6017745823.json
7302,6017857334.json
10087,6017842520.json
11245,6017789413.json
3853,6017835226.json
3939,6017772483.json
5600,6017772329.json
5303,6017772336.json
194544,6017726860.json
3900,6017720042.json
3694,6017812822.json
4844,6017792753.json
7132,6017824374.json
8807,6017857850.json
9525,6017775577.json
3694,6017812820.json
9519,6017775589.json
3713,6017706256.json
9519,6017775554.json
8764,6017793875.json
7677,6017759367.json
9524,6017775582.json
6240,6017862928.json
11805,6017811307.json
5801,6017763601.json
9519,6017775561.json
5378,6017822147.json
4088,6017702648.json
26632,6017794346.json
63663,6017704183.json
4505,6017810704.json
90720,6017826357.json
4891,6017794315.json
4292,6017827028.json
8452,6017772495.json
4740,6017765327.json
16972,6017729617.json
8567,6017822778.json
4174,6017772322.json
9519,6017775547.json
4404,6017984808.json
4651,6017899466.json
3575,6017983907.json
3841,6017884808.json
4789,6018183620.json
11134,6017992952.json
131992,6017984415.json
21992,6017984223.json
17337,6018097536.json
17677,6017985955.json
27860,6017984684.json
3575,6018079210.json
3270,6018137684.json
3149,6017985780.json
3913,6017880958.json
16465,6017984327.json
7569,6018204481.json
7986,6017983950.json
5627,6017881724.json
4725,6017994162.json
16602,6018184463.json
5812,6017985681.json
24887,6018183462.json
4333,6018012969.json
6843,6018062691.json
3546,6017984631.json
3486,6017984406.json
37662,6017985193.json
56317,6018012419.json
9409,6017984357.json
3487,6017983989.json
4606,6017984455.json
3567,6017983987.json
19519,6017985440.json
9277,6018099462.json
10663,6017984110.json
3347,6018204298.json
3121,6017984155.json
5289,6018184424.json
18191,6017984346.json
6494,6017983990.json
25598,6018190768.json
14806,6018137274.json
7977,6017996677.json
11444,6018204313.json
12420,6017879145.json
37149,6017896451.json
4389,6017987170.json
4147,6017884815.json
4581,6017983979.json
5668,6017983949.json
5538,6018000919.json
12227,6017985180.json
8036,6017984843.json
5323,6017887431.json
36882,6017896262.json
3320,6018211473.json
71549,6017994327.json
10230,6017985330.json
3652,6018013413.json
4752,6017984093.json
5854,6017984044.json
42666,6018187882.json
6494,6017983999.json
5888,6017984374.json
95060,6017888145.json
5302,6017984318.json
29336,6018183535.json
11281,6017894932.json
6761,6017884101.json
11035,6017984042.json
3185,6018183083.json
51157,6017898577.json
4524,6017984970.json
61748,6017984752.json
7796,6018184368.json
10414,6017984300.json
4180,6018139000.json
403576,6018181950.json
12999,6017878288.json
10606,6018184431.json
5285,6018002797.json
4581,6018183451.json
9185,6018184536.json
9732,6018204315.json
5104,6017985584.json
150789,6018138662.json
9744,6018116003.json
24857,6018125334.json
7264,6017887487.json
10781,6018001745.json
100603,6017986531.json
67051,6017642393.json
10235,6017984115.json
16384,6018183159.json
5902,6018067801.json
1327070,6018234827.json
4088,6017615804.json
5818,6017705868.json
3207,6017672161.json
3461,6017665984.json
5541,6017603961.json
549291,6017702293.json
11206,6017608925.json
4773,6017625330.json
5222,6017613182.json
22347,6017608892.json
7904,6017607190.json
12348,6017654822.json
4069,6017627355.json
4016,6017671886.json
3971,6017608549.json
20591,6017606487.json
5091,6017633122.json
4809,6017635054.json
8969,6017676360.json
3433,6017633202.json
4097,6017609143.json
9788,6017661730.json
7011,6017610564.json
7481,6017609686.json
4505,6017623832.json
6057,6017655016.json
7711,6017657885.json
3594,6017609100.json
22608,6017704111.json
18396,6017671839.json
5637,6017661028.json
60461,6017664494.json
111728,6017636840.json
7260,6017618460.json
7296,6017608875.json
3205,6017609152.json
15906,6017609019.json
13479,6017687980.json
4245,6017609039.json
545770,6017683268.json
21842,6017613462.json
7278,6017661707.json
42659,6017603150.json
14193,6017612437.json
647136,6017668341.json
147462,6017662923.json
7232,6017683748.json
92108,6017609132.json
17646,6017659563.json
30857,6017612150.json
15274,6017655511.json
9989,6017609040.json
3305,6017590593.json
13067,6017662330.json
3263,6017613436.json
43269,6017666434.json
13843,6017609920.json
59221,6017650506.json
3670,6017609227.json
151019,6017637347.json
4801,6017633655.json
49313,6017703421.json
86044,6017613873.json
3819,6017611807.json
4194,6017609014.json
145470,6017609160.json
20374,6017608466.json
10904,6017609081.json
4296,6017659992.json
9049,6017612883.json
7014,6018214402.json
12388,6018206102.json
6898,6018205128.json
24525,6018210426.json
4522,6018206078.json
3887,6018214555.json
7558,6018204444.json
3937,6018214136.json
6652,6018210908.json
21344,6018210082.json
6548,6018210665.json
14970,6018210102.json
6987,6018233046.json
4559,6018208284.json
25119,6018210642.json
18291,6018211201.json
92105,6018211044.json
8483,6018210243.json
44088,6018210841.json
3156,6018211097.json
72721,6018210404.json
6844,6018210584.json
25278,6018210312.json
273295,6018210601.json
54407,6018205543.json
10780,6018206086.json
7471,6018211153.json
11100,6018205823.json
3818,6018204456.json
124215,6018205854.json
4358,6018211437.json
4256,6018211270.json
32915,6018214315.json
21595,6018210613.json
11490,6018211156.json
24958,6018210378.json
3515,6018211042.json
6317,6018210937.json
5892,6018205973.json
4256,6018211433.json
11191,6018211412.json
35957,6018210154.json
21513,6018233038.json
15240,6018211039.json
15598,6018211091.json
6319,6018211047.json
12822,6018205884.json
4606,6018213657.json
5201,6018204436.json
3593,6018214013.json
3227,6018211975.json
4799,6018211643.json
4447,6018206240.json
4245,6018247770.json
